Current_Date,Location,Next_Date,HCHO_reading
2019-10-20,Nuwara Eliya Proper,2019-10-21,8.089742914307863e-05
2019-10-21,Nuwara Eliya Proper,2019-10-22,6.737322131003084e-05
2019-10-22,Nuwara Eliya Proper,2019-10-23,7.188129058771342e-05
2019-10-23,Nuwara Eliya Proper,2019-10-24,0.0002144734025932
2019-10-24,Nuwara Eliya Proper,2019-10-25,0.0002144734025932
2019-10-25,Nuwara Eliya Proper,2019-10-26,0.0002144734025932
2019-10-26,Nuwara Eliya Proper,2019-10-27,0.0002144734025932
2019-10-27,Nuwara Eliya Proper,2019-10-28,0.0002144734025932
2019-10-28,Nuwara Eliya Proper,2019-10-29,9.790105492807149e-05
2019-10-29,Nuwara Eliya Proper,2019-10-30,9.22973130337337e-05
2019-10-30,Nuwara Eliya Proper,2019-10-31,9.109327554285964e-05
2019-10-31,Nuwara Eliya Proper,2019-11-01,0.00010458010032412324
2019-11-01,Nuwara Eliya Proper,2019-11-02,0.0001060299718198
2019-11-02,Nuwara Eliya Proper,2019-11-03,0.0001060299718198
2019-11-03,Nuwara Eliya Proper,2019-11-04,0.0001060299718198
2019-11-04,Nuwara Eliya Proper,2019-11-05,0.0001060299718198
2019-11-05,Nuwara Eliya Proper,2019-11-06,-1.447438194190909e-06
2019-11-06,Nuwara Eliya Proper,2019-11-07,0.0001197492585854
2019-11-07,Nuwara Eliya Proper,2019-11-08,0.0002019448987158
2019-11-08,Nuwara Eliya Proper,2019-11-09,0.0001875744093177
2019-11-09,Nuwara Eliya Proper,2019-11-10,0.00012695528210617725
2019-11-10,Nuwara Eliya Proper,2019-11-11,0.00016975618887296663
2019-11-11,Nuwara Eliya Proper,2019-11-12,0.00019475965401674996
2019-11-12,Nuwara Eliya Proper,2019-11-13,0.0001796965460638
2019-11-13,Nuwara Eliya Proper,2019-11-14,4.990433807850961e-05
2019-11-14,Nuwara Eliya Proper,2019-11-15,1.0639170243363802e-05
2019-11-15,Nuwara Eliya Proper,2019-11-16,8.008001812855778e-05
2019-11-16,Nuwara Eliya Proper,2019-11-17,8.008001812855778e-05
2019-11-17,Nuwara Eliya Proper,2019-11-18,-1.8410832318863548e-05
2019-11-18,Nuwara Eliya Proper,2019-11-19,0.0001715080615397
2019-11-19,Nuwara Eliya Proper,2019-11-20,7.654861461041821e-05
2019-11-20,Nuwara Eliya Proper,2019-11-21,7.654861461041821e-05
2019-11-21,Nuwara Eliya Proper,2019-11-22,7.654861461041821e-05
2019-11-22,Nuwara Eliya Proper,2019-11-23,0.0001715080615397
2019-11-23,Nuwara Eliya Proper,2019-11-24,5.402698596283087e-05
2019-11-24,Nuwara Eliya Proper,2019-11-25,7.341744940883971e-05
2019-11-25,Nuwara Eliya Proper,2019-11-26,4.955691143604329e-05
2019-11-26,Nuwara Eliya Proper,2019-11-27,2.264659694044054e-05
2019-11-27,Nuwara Eliya Proper,2019-11-28,1.675508222066578e-05
2019-11-28,Nuwara Eliya Proper,2019-11-29,-6.224718257364467e-06
2019-11-29,Nuwara Eliya Proper,2019-11-30,-1.3700802230001436e-05
2019-11-30,Nuwara Eliya Proper,2019-12-01,9.111681418880663e-05
2019-12-01,Nuwara Eliya Proper,2019-12-02,1.9806920279196452e-05
2019-12-02,Nuwara Eliya Proper,2019-12-03,4.297927192450536e-05
2019-12-03,Nuwara Eliya Proper,2019-12-04,4.882903417021441e-05
2019-12-04,Nuwara Eliya Proper,2019-12-05,8.109190351440065e-05
2019-12-05,Nuwara Eliya Proper,2019-12-06,4.8176782472079204e-05
2019-12-06,Nuwara Eliya Proper,2019-12-07,6.060121733358272e-05
2019-12-07,Nuwara Eliya Proper,2019-12-08,6.060121733358272e-05
2019-12-08,Nuwara Eliya Proper,2019-12-09,6.060121733358272e-05
2019-12-09,Nuwara Eliya Proper,2019-12-10,6.060121733358272e-05
2019-12-10,Nuwara Eliya Proper,2019-12-11,6.060121733358272e-05
2019-12-11,Nuwara Eliya Proper,2019-12-12,6.321881997760526e-05
2019-12-12,Nuwara Eliya Proper,2019-12-13,5.144756876329371e-05
2019-12-13,Nuwara Eliya Proper,2019-12-14,-2.2457160532429955e-05
2019-12-14,Nuwara Eliya Proper,2019-12-15,1.5113010024269242e-05
2019-12-15,Nuwara Eliya Proper,2019-12-16,-3.045346083610229e-07
2019-12-16,Nuwara Eliya Proper,2019-12-17,0.0002059300168184
2019-12-17,Nuwara Eliya Proper,2019-12-18,4.9570332925469556e-05
2019-12-18,Nuwara Eliya Proper,2019-12-19,7.357949741143606e-05
2019-12-19,Nuwara Eliya Proper,2019-12-20,0.00010281274110501948
2019-12-20,Nuwara Eliya Proper,2019-12-21,0.0002059300168184
2019-12-21,Nuwara Eliya Proper,2019-12-22,5.233203232034485e-05
2019-12-22,Nuwara Eliya Proper,2019-12-23,0.00010866357191380006
2019-12-23,Nuwara Eliya Proper,2019-12-24,2.4497794584021904e-05
2019-12-24,Nuwara Eliya Proper,2019-12-25,5.2385187031481246e-06
2019-12-25,Nuwara Eliya Proper,2019-12-26,-4.433234016269177e-05
2019-12-26,Nuwara Eliya Proper,2019-12-27,8.490988554769745e-05
2019-12-27,Nuwara Eliya Proper,2019-12-28,1.7578464668043914e-05
2019-12-28,Nuwara Eliya Proper,2019-12-29,5.037097735972281e-05
2019-12-29,Nuwara Eliya Proper,2019-12-30,0.0001936077267456
2019-12-30,Nuwara Eliya Proper,2019-12-31,2.837138933940408e-05
2019-12-31,Nuwara Eliya Proper,2020-01-01,1.8020774742708853e-05
2020-01-01,Nuwara Eliya Proper,2020-01-02,7.259271704685893e-05
2020-01-02,Nuwara Eliya Proper,2020-01-03,7.999996360923763e-05
2020-01-03,Nuwara Eliya Proper,2020-01-04,7.971946523881809e-05
2020-01-04,Nuwara Eliya Proper,2020-01-05,0.0002221059548901
2020-01-05,Nuwara Eliya Proper,2020-01-06,0.0001159583617149
