STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/2/2019,0,",,S",84,"H,,S",,,78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/3/2019,0,",,S",85,"H,,S",90,",,S",,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/5/2019,0,",,S",85,"H,,S",,,78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/6/2019,0,",,S",85,"H,,S",94,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/7/2019,0,",,S",86,"H,,S",92,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/8/2019,0,",,S",86,"H,,S",93,",,S",78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/9/2019,0,",,S",86,"H,,S",92,",,S",77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/10/2019,0,",,S",89,"H,,S",94,",,S",78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/12/2019,0,",,S",87,"H,,S",95,",,S",78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/13/2019,0,",,S",88,"H,,S",,,78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/15/2019,0,",,S",87,"H,,S",,,79,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/16/2019,0,",,S",87,"H,,S",,,79,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/17/2019,0,",,S",90,"H,,S",95,",,S",78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/18/2019,0,",,S",90,"H,,S",95,",,S",79,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/19/2019,0,",,S",88,"H,,S",96,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/20/2019,0,",,S",87,"H,,S",,,77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/21/2019,0,",,S",87,"H,,S",96,",,S",77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/23/2019,0,",,S",87,"H,,S",97,",,S",75,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/26/2019,0,",,S",87,"H,,S",,,76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/27/2019,0,",,S",88,"H,,S",97,",,S",78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/28/2019,0,",,S",89,"H,,S",96,",,S",79,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/29/2019,0.01,",,S",88,"H,,S",96,",,S",80,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,5/30/2019,0,",,S",87,"H,,S",,,79,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/2/2019,0,",,S",87,"H,,S",,,79,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/3/2019,0,",,S",85,"H,,S",94,",,S",80,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/4/2019,0.62,",,S",80,"H,,S",89,",,S",,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/5/2019,1.53,",,S",86,"H,,S",92,",,S",77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/6/2019,0,",,S",84,"H,,S",91,",,S",78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/7/2019,0.04,",,S",84,"H,,S",90,",,S",77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/8/2019,0.13,",,S",88,"H,,S",92,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/9/2019,0,",,S",83,"H,,S",,,,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/10/2019,2.16,",,S",79,"H,,S",,,73,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/11/2019,0.03,",,S",83,"H,,S",89,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/12/2019,0.39,",,S",82,"H,,S",86,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/15/2019,0.11,",,S",88,"H,,S",92,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/16/2019,0,",,S",83,"H,,S",93,",,S",79,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/17/2019,0,",,S",85,"H,,S",90,",,S",79,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/23/2019,0,",,S",85,"H,,S",92,",,S",77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/24/2019,0,",,S",86,"H,,S",91,",,S",79,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/27/2019,0,",,S",85,"H,,S",93,",,S",77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,6/30/2019,0,",,S",84,"H,,S",,,78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/1/2019,0,",,S",85,"H,,S",92,",,S",78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/2/2019,0,",,S",84,"H,,S",91,",,S",,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/3/2019,0.07,",,S",86,"H,,S",92,",,S",78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/4/2019,0,",,S",86,"H,,S",,,77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/6/2019,0,",,S",88,"H,,S",91,",,S",77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/7/2019,0,",,S",87,"H,,S",94,",,S",77,",,S"
