NAME,LATITUDE,LONGITUDE,ELEVATION,Sea Proximity (approximate-km),Sea Proximity Categorised,Climate Zone,DATE,PRCP,TAVG,TMAX,TMIN
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-07,9.47,25.88,29.79,23.47
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-08,4.43,26.69,32.92,23.26
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-09,2.39,26.98,32.35,22.98
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-10,2.77,27.17,33.34,23.61
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-11,2.44,27.42,33.67,23.37
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-12,1.97,27.64,33.65,23.51
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-13,1.91,26.94,31.22,24.23
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-14,2.44,27.31,34.76,23.05
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-15,1.2,27.44,34.22,22.55
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-16,0.0,27.7,32.69,24.19
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-17,0.0,27.19,31.52,24.26
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-18,0.0,27.84,33.23,24.4
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-19,0.0,27.74,33.07,24.06
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-20,0.19,26.44,29.88,24.12
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-21,0.37,27.18,32.23,23.76
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-22,0.34,27.66,33.4,24.52
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-23,0.16,27.98,33.88,24.0
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-24,1.5,27.98,33.68,24.02
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-25,0.77,27.05,31.55,23.94
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-26,0.0,27.25,33.44,23.79
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-27,0.0,27.83,33.79,23.88
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-28,0.0,28.26,36.06,22.83
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-29,0.0,28.27,36.08,22.87
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-06-30,0.01,27.27,32.15,23.78
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-01,0.1,27.38,33.23,23.62
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-02,0.17,27.69,33.85,24.02
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-03,0.3,27.76,33.69,24.14
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-04,0.14,27.77,34.09,23.65
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-05,1.53,27.05,31.66,23.76
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-06,1.52,27.19,33.14,23.61
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-07,0.36,27.69,35.3,23.26
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-08,0.64,28.62,36.62,22.89
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-09,7.28,26.92,32.6,23.14
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-10,6.53,26.53,33.88,21.38
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-11,4.33,26.56,32.42,22.61
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-12,4.99,27.32,34.38,22.11
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-13,8.05,26.29,31.52,23.04
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-14,3.19,26.69,33.34,22.41
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-15,2.89,26.23,31.82,22.55
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-16,4.29,26.14,31.4,22.61
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-17,2.66,26.59,32.51,22.85
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-18,4.68,26.75,32.87,23.24
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-19,5.65,26.41,31.25,23.84
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-20,0.72,26.5,31.87,23.31
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-21,2.46,26.16,31.96,22.05
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-22,1.34,26.13,32.12,22.24
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-23,0.19,26.05,31.64,22.35
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-24,1.11,26.8,33.94,21.94
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-25,2.05,26.39,31.97,22.66
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-26,0.55,26.12,31.62,22.44
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-27,0.11,26.16,33.25,21.66
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-28,0.09,26.59,33.12,22.15
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-29,0.21,27.01,34.98,21.48
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-30,0.65,27.01,33.36,22.28
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-07-31,1.21,27.4,34.58,22.53
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-08-01,4.28,26.18,30.54,23.44
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-08-02,1.04,27.13,34.16,22.48
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-08-03,0.53,26.65,32.24,23.3
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-08-04,1.54,27.43,34.65,23.05
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-08-05,7.17,25.92,30.7,22.83
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-08-06,4.29,26.52,32.23,23.56
