region,DATE,carbonmonoxide_average,nitrogendioxide_average,ozone_average
Kandy Proper,2021-09-28,0.024358250511189304,2.3166661776485853e-05,0.12109537981450558
Kandy Proper,2021-09-29,0.025091215140289735,5.67708730159211e-06,0.12111594527959824
Kandy Proper,2021-09-30,0.026718789401153728,1.5680545402574353e-05,0.1201997126142184
Kandy Proper,2021-10-01,0.025728773946563404,3.7347013858379796e-05,0.1202609861890475
Kandy Proper,2021-10-02,0.02377498894929886,1.5324358173529617e-05,0.11670903861522675
Kandy Proper,2021-10-03,0.020098675042390823,1.4346961506817024e-05,0.11844749748706818
Kandy Proper,2021-10-04,0.026177895565827686,1.790705391613301e-05,0.11773966004451115
Kandy Proper,2021-10-05,0.02842659316956997,1.5023901823951746e-05,0.12064112226168315
Kandy Proper,2021-10-06,0.024619538181771834,1.1722633644239977e-05,0.11838432960212232
Kandy Proper,2021-10-07,0.022822391241788864,1.3913154248257342e-05,0.11986768990755081
Kandy Proper,2021-10-08,0.023765364661812782,1.0617021871439647e-05,0.11904239654541016
Kandy Proper,2021-10-09,0.025004783024390537,4.632806394511135e-06,0.11885605255762736
Kandy Proper,2021-10-10,0.026427329207460087,1.6678790416335687e-05,0.11979902163147926
Kandy Proper,2021-10-11,0.024338361703687247,9.752443475008477e-06,0.11953529715538025
Kandy Proper,2021-10-12,0.025096346934636436,1.497488483437337e-05,0.11900480091571808
Kandy Proper,2021-10-13,0.023079605773091316,7.205619112937711e-06,0.11944186687469482
Kandy Proper,2021-10-14,0.024455348029732704,8.736176823731512e-06,0.11918325908482075
Kandy Proper,2021-10-15,0.02376747690141201,5.960258931736462e-06,0.11901272088289261
Kandy Proper,2021-10-16,0.024949146434664726,2.2775795969209867e-06,0.119988352060318
Kandy Proper,2021-10-17,0.024161366745829582,5.403378963819705e-06,0.11820023506879807
Kandy Proper,2021-10-18,0.02591613307595253,1.1472827281977516e-05,0.11885444819927216
Kandy Proper,2021-10-19,0.02439694292843342,1.1740065019694157e-05,0.11743874351183574
Kandy Proper,2021-10-20,0.02508740747968356,7.741923582216259e-06,0.11862044471005598
Kandy Proper,2021-10-21,0.025156538002192974,2.040488857346645e-05,0.11875410129626592
Kandy Proper,2021-10-22,0.025156538002192974,3.880797976307804e-06,0.1183490976691246
Kandy Proper,2021-10-23,0.02439694292843342,1.5118392411750392e-05,0.11861428618431091
Kandy Proper,2021-10-24,0.024949356603125732,1.2467236047086772e-05,0.11696326980988185
Kandy Proper,2021-10-25,0.02961352343360583,2.086951690216665e-05,0.11666073401769002
Kandy Proper,2021-10-26,0.024825187399983406,1.8349035599385388e-05,0.11696431785821915
Kandy Proper,2021-10-27,0.02721935541679462,1.2444926142052282e-05,0.11512725055217743
Kandy Proper,2021-10-28,0.03213265414039294,2.51283090619836e-05,0.11564485728740692
Kandy Proper,2021-10-29,0.025889616459608078,1.4223975995264482e-05,0.11924256570637226
Kandy Proper,2021-10-30,0.030252532412608463,2.4563278202549554e-05,0.11671943217515945
